oss,xdate,SITE_ID,yesterdayName,todayName,cellname,MRBTS,lnbts,LNCEL,earfcnDL,dlchbw,pMax,remark
JAV,2019-09-04,20SBY506,E_GUNUNGANYAR_MT3_XXX,E_GUNUNGANYAR_MT3_XXX_O_XYX,E_GUNUNGANYAR_MT3_XXX_O_XYX,47482,47482,3,500,100,430,newXYX
KLM,2019-09-04,19TRG030,L_PRANGAT1,L_PRANGAT1_O_XYX,L_PRANGAT1_O_XYX,70390,70390,1,1625,150,448,newXYX
KLM,2019-09-04,19TRG030,L_PRANGAT2,L_PRANGAT2_O_XYX,L_PRANGAT2_O_XYX,70390,70390,2,1625,150,448,newXYX
KLM,2019-09-04,19TRG030,L_PRANGAT3,L_PRANGAT3_O_XYX,L_PRANGAT3_O_XYX,70390,70390,3,1625,150,448,newXYX
KLM,2019-09-04,19SMR002,E_RRISMRNDA1,E_RRISMRNDA1_O_XYX,E_RRISMRNDA1_O_XYX,70501,70501,1,476,50,430,newXYX
KLM,2019-09-04,19SMR002,E_RRISMRNDA2,E_RRISMRNDA2_O_XYX,E_RRISMRNDA2_O_XYX,70501,70501,2,476,50,430,newXYX
KLM,2019-09-04,19SMR002,E_RRISMRNDA3,E_RRISMRNDA3_O_XYX,E_RRISMRNDA3_O_XYX,70501,70501,3,476,50,430,newXYX
KLM,2019-09-04,19TRG072,E_MALUHU2_SM1,E_MALUHU2_SM1_O_XYX,E_MALUHU2_SM1_O_XYX,70603,70603,1,476,50,430,newXYX
KLM,2019-09-04,19TRG072,E_MALUHU2_SM2,E_MALUHU2_SM2_O_XYX,E_MALUHU2_SM2_O_XYX,70603,70603,2,476,50,430,newXYX
KLM,2019-09-04,19TRG072,E_MALUHU2_SM3,E_MALUHU2_SM3_O_XYX,E_MALUHU2_SM3_O_XYX,70603,70603,3,476,50,430,newXYX
KLM,2019-09-04,16MPW035,L_PERDAMAIAN_PTK_PL1,L_PERDAMAIAN_PTK_PL1_O_XYX,L_PERDAMAIAN_PTK_PL1_O_XYX,71080,71080,1,1625,150,448,newXYX
KLM,2019-09-04,16MPW035,L_PERDAMAIAN_PTK_PL2,L_PERDAMAIAN_PTK_PL2_O_XYX,L_PERDAMAIAN_PTK_PL2_O_XYX,71080,71080,2,1625,150,448,newXYX
KLM,2019-09-04,16MPW035,L_PERDAMAIAN_PTK_PL3,L_PERDAMAIAN_PTK_PL3_O_XYX,L_PERDAMAIAN_PTK_PL3_O_XYX,71080,71080,3,1625,150,448,newXYX
