oss,xdate,SITE_ID,yesterdayName,todayName,RNC,WBTS,WCEL,IPNBId,PtxCellMax,MBLBStateTransEnabled,Remark
JAV,2019-09-04,14UNR085,U_GEBUGAN_TBG1,U_GEBUGAN_TBG1_O_XYX,1140,2009,20091,2009,460,1,newXYX
JAV,2019-09-04,14UNR085,U_GEBUGAN_TBG2,U_GEBUGAN_TBG2_O_XYX,1140,2009,20092,2009,460,1,newXYX
JAV,2019-09-04,14UNR085,U_GEBUGAN_TBG3,U_GEBUGAN_TBG3_O_XYX,1140,2009,20093,2009,460,1,newXYX
JAV,2019-09-04,14UNR085,U_GEBUGAN_TBG4,U_GEBUGAN_TBG4_O_XYX,1140,2009,20094,2009,460,1,newXYX
JAV,2019-09-04,14UNR085,U_GEBUGAN_TBG5,U_GEBUGAN_TBG5_O_XYX,1140,2009,20095,2009,460,1,newXYX
JAV,2019-09-04,14UNR085,U_GEBUGAN_TBG6,U_GEBUGAN_TBG6_O_XYX,1140,2009,20096,2009,460,1,newXYX
JAV,2019-09-04,14UNR124,U_GEDANGANAK_UNR_PL4,U_GEDANGANAK_UNR_PL4_O_XYX,1140,3113,31134,3113,460,1,newXYX
JAV,2019-09-04,14UNR124,U_GEDANGANAK_UNR_PL5,U_GEDANGANAK_UNR_PL5_O_XYX,1140,3113,31135,3113,460,1,newXYX
JAV,2019-09-04,14UNR124,U_GEDANGANAK_UNR_PL6,U_GEDANGANAK_UNR_PL6_O_XYX,1140,3113,31136,3113,460,1,newXYX
JAV,2019-09-04,14SMG320,U_ARANG_SMG_MT1,U_ARANG_SMG_MT1_O_XYX,1140,3126,31261,3126,460,1,newXYX
JAV,2019-09-04,14SMG320,U_ARANG_SMG_MT2,U_ARANG_SMG_MT2_O_XYX,1140,3126,31262,3126,460,1,newXYX
JAV,2019-09-04,14SMG320,U_ARANG_SMG_MT3,U_ARANG_SMG_MT3_O_XYX,1140,3126,31263,3126,460,1,newXYX
JAV,2019-09-04,14UNR040,U_NYATNYONO1,U_NYATNYONO1_O_XYX,1140,3157,24487,3157,478,1,newXYX
JAV,2019-09-04,14UNR040,U_NYATNYONO2,U_NYATNYONO2_O_XYX,1140,3157,24488,3157,478,1,newXYX
JAV,2019-09-04,14UNR040,U_NYATNYONO3,U_NYATNYONO3_O_XYX,1140,3157,24489,3157,478,1,newXYX
JAV,2019-09-04,14UNR040,U_NYATNYONO4,U_NYATNYONO4_O_XYX,1140,3157,34194,3157,460,1,newXYX
JAV,2019-09-04,14UNR040,U_NYATNYONO5,U_NYATNYONO5_O_XYX,1140,3157,34195,3157,460,1,newXYX
JAV,2019-09-04,14UNR040,U_NYATNYONO6,U_NYATNYONO6_O_XYX,1140,3157,34196,3157,460,1,newXYX
JAV,2019-09-04,14SMG324,U_TAMBAKAJI_SMG_TB4,U_TAMBAKAJI_SMG_TB4_O_XYX,1140,3200,32004,3200,460,1,newXYX
JAV,2019-09-04,14SMG324,U_TAMBAKAJI_SMG_TB5,U_TAMBAKAJI_SMG_TB5_O_XYX,1140,3200,32005,3200,460,1,newXYX
